Vendedor;Rede;Cliente;Código;Loja;Cidade;UF
Ricardo Santos;Hiperideal;Serrana Stella Maris Ii (002613 - 06);002613;06;Salvador;BA
Ricardo Santos;Hiperideal;Serrana Vila Laura (002613 - 15);002613;15;Salvador;BA
Vinicius;Sup Bombom;Sup Bombom Estancia Centro (004234 - 02);004234;02;Estancia;SE
Vinicius;Sup Bombom;Sup Bombom Lagarto Centro (004234 - 01);004234;01;Lagarto;SE
Vinicius;Sup Bombom;Supermercado Bombom Ltda Grageru (004234 - 03);004234;03;Aracaju;SE
Nixon;Outros;Supermercado Compre Bem (004379 - 02);004379;02;Alagoinhas;BA
Nixon;Outros;Supermercado Compre Bem Conselheiro Junq (004379 - 03);004379;03;Alagoinhas;BA
Nixon;Outros;Supermercado Compre Bem Dantas Luma (004379 - 04);004379;04;Alagoinhas;BA
Ricardo Santos;Outros;Supermercado Jhones (005095 - 01);005095;01;Itaberaba;BA
Ricardo Santos;Outros;Supermercado Jl (006020 - 01);006020;01;Itaberaba;BA
Vinicius;Sao Lucas;Supermercado Nunes Peixoto Centro (002997 - 01);002997;01;Itabaiana;SE
Vinicius;Sao Lucas;Supermercado Nunes Peixoto Novo Horizont (002997 - 02);002997;02;Nossa Senhora Da Gloria;SE
Nixon;Total Atac;Total Atacado (005116 - 01);005116;01;Lauro De Freitas;BA
Filial;Trielo Comercio Exportacao;Trielo Ceasa Ba (003081 - 03);003081;03;Salvador;BA
